Date,Description,Type,Street
8/24/20 - 11:15 pm,Bullet comes through bedroom window in area of Park and Claybourne streets in Dorchester,Gunfire,Park St. and Claybourne St.
8/23/20 - 2:45 am,"Driver, passengers run away after slamming into woman in Grove Hall",Hit and run,Devon St. and Normandy St.
8/21/20 - 11:35 pm,Man shot repeatedly on Fairmount Street in Dorchester,Gunfire,Faimount St. and Capen St.
8/21/20 - 6:05 pm,Several shots fired on Mt. Ida Road in Dorchester,Gunfire,25 Mt. Ida Rd.
8/15/20 - 11:45 pm,Man killed in hit-and-run near Ashmont T station,Hit and run,Dorchester Ave. and Ashmont St.
8/11/20 - 12:57 am,Two sought for armed holdup of Chinese takeout place on Mass. Ave. in Dorchester,Armed robbery,1284 Massachusetts Ave.
8/6/20 - 10:55 pm,Gunfire in front of the Lee School in Dorchester,Gunfire,156 Talbot Ave.
8/4/20 - 12:01 am,Man stabbed to death on Massachusetts Avenue; second Methadone Mile murder in five days,Murder,1024 Massachusetts Ave.
8/2/20 - 9:10 pm,"Driver is shot, crashes into wall of Blue Hill Avenue building",Murder,632 Blue Hill Ave.
7/31/20 - 7:27 am,Man stabbed to death on Southampton Street; suspect arrested,Murder,112 Southampton St.
7/29/20 - 11:15 pm,"Two shot, one fatally, on Adams Street near Ronan Park in Dorchester",Murder,121 Adams St.
7/29/20 - 9:55 pm,Man shot on Rosedale Street in Codman Square,Shooting,Rosedale St. and Washington St.
7/26/20 - 1:58 am,Man fatally shot on Erie Street in Dorchester,Murder,38 Erie St.
7/25/20 - 12:33 am,"Man arrested on gun charges at Dorchester block party, a few days after two men were stabbed at a block party on the same street",Illegal gun possession,Livingstone St. and Blue Hill Ave.
7/22/20 - 4:55 pm,Two shot on Dudley Street in Dorchester,Shooting,Dudley St. and Howard Ave.
7/19/20 - 4:45 pm,"Two teens shot to death on Wildwood Street near Morton Street, where another teen was murdered last year",Shooting,46 Wildwood St.
7/16/20 - 9:25 pm,Guy with rod whacks three people in the head with it in Grove Hall,Assault and battery,Blue Hill Ave. and Maywood St.
7/11/20 - 10:00 pm,Virgin Mary statue set on fire at Dorchester church,Arson,284 Bowdoin St.
7/10/20 - 12:05 am,Two shot in Codman Square,Shooting,Talbot Ave. and Southern Ave.
7/9/20 - 9:10 pm,"Two shot, at Tebroc and Bowdoin streets in Dorchester",Shooting,Tebroc St. and Bowdoin St.
7/7/20 - 2:20 am,Grove Hall gunfire followed by arrest,Illegal gun possession,Columbia Rd. and Powellton Rd.
7/5/20 - 4:32 am,Some guys didn't fully blow their wad on the Fourth,Illegal gun possession,29 Stanton St.
7/5/20 - 3:10 am,Woman shot to death on Stonehurst Street in Dorchester; suspect arrested,Murder,37 Stonehurst St.
7/3/20 - 11:03 pm,Man stabbed to death at Fields Corner Domino's,Murder,205 Adams St.
7/3/20 - 10:15 pm,Man fatally stabbed on Theodore Street in Dorchester,Murder,42 Theodore St.
7/2/20 - 12:19 am,Man fatally shot on Norfolk Street in Dorchester,Murder,109 Norfolk St
6/30/20 - 9:28 pm,Person shot on Elwyn Road in Dorchester,Shooting,Elwyn Rd.
6/30/20 - 9:27 pm,Police: Man was speeding around Dorchester with a gun loaded with 18 rounds,Illegal gun possession,Bradshaw St. and Charlotte St.
6/29/20 - 11:05 am,"Man shot, at Columbia Road and Devon Street in Dorchester",Shooting,Columbia Rd. and Devon St.
6/29/20 - 1:56 am,Two arrested on gun charges after South Bay traffic stop,Illegal gun possession,Massachusetts Avenue and Allstate Rd.
6/23/20 - 1:51 am,Man shot to death on Thane Street in Dorchester,Murder,26 Thane St.
6/13/20 - 9:55 pm,Man shot in the leg on Washington Street in Dorchester,Shooting,861 Washington St.
6/13/20 - 3:58 pm,Man shot to death on Wheatland Avenue in Dorchester; around corner from another fatal shooting ten days ago,Murder,82 Wheatland Ave.
6/7/20 - 11:40 pm,Shots fired on Mascot Street in Dorchester,Gunfire,Mascot St. and Dumas St.
6/5/20 - 10:25 pm,Person shot on Norton Street in Dorchester,Shooting,38 Norton St.
6/4/20 - 10:43 pm,"Man walked down a Dorchester street firing a gun, police say",Gunfire,4 Longfellow St.
6/4/20 - 2:25 am,"Two shot on Whitfield Street in Dorchester, one dead",Murder,68 Whitfield St.
6/3/20 - 10:10 pm,15-year-old girl shot on Brenton Street in Dorchester,Shooting,19 Brenton St.
6/3/20 - 9:15 pm,"Man stabbed on Bowdoin Street in Dorchester, winds up at South Bay",Stabbing,Bowdoin St. and Hamilton St.
6/2/20 - 10:45 pm,Shots fired on Centre Street in Dorchester,Gunfire,Centre St. and Samoset St.
6/1/20 - 11:02 pm,"Man tried pulling a loaded gun on officers in Dorchester, but they managed to grab it away, police say",Illegal gun possession,Evans St. and Capen St.
5/30/20 - 2:10 am,"Gun fired, woman shot, man arrested in Dorchester",Shooting,23 Mountain Ave.
5/28/20 - 12:05 am,"One shot, one stabbed in Newmarket Square",Shooting,Newmarket Square and Massachusetts Ave.
5/27/20 - 11:55 pm,"Five people shot at Franklin Field in Dorchester, one dead",Shooting,5 Ames St.
5/24/20 - 9:45 pm,Two shot in separate incidents less than a mile apart in Dorchester,Shooting,30 Vesta Rd.
5/22/20 - 10:01 pm,Shots fired at Silloway and Mather streets in Dorchester,Gunfire,Silloway St. and Mather St.
5/18/20 - 10:15 pm,Hail of bullets fired at gas station at Washington Street and Gallivan Boulevard in Dorchester,Gunfire,970 Washington St.
5/18/20 - 12:00 pm,Man shot to death on Bernard Street in Dorchester,Murder,45 Bernard St.
5/18/20 - 12:00 pm,One of four men sliced up in Dorchester knife fight now faces gun charges,Illegal gun possession,69 Hancock St.
5/16/20 - 8:45 pm,"Knife fight ends with four stabbed, one in the chest, in Dorchester",Stabbing,Hancock St. and Trull St.
5/16/20 - 8:35 pm,Man charged with gunfire on Sumner Street in Dorchester,Gunfire,69 Sumner St.
5/16/20 - 7:50 pm,Man shot to death on Bellevue Street in Dorchester,Murder,45 Bellevue St.
5/14/20 - 10:30 pm,Shots fired in Franklin Field,Gunfire,Ames St. and Westview Way
5/13/20 - 9:15 pm,Shots fired on Harvard Street in Dorchester,Gunfire,Harvard St. and Norwell St.
5/12/20 - 9:40 pm,"Man stabbed in the chest in Dorchester, suspect arrested",Stabbing,Dorchester Ave. and Lyon St.
5/9/20 - 11:59 pm,"Police: Two men arranging a car sale in Dorchester are robbed by two other men; money recovered, car still at large, cop kneed",Armed robbery,Bowdoin St. and Hamilton St.
5/5/20 - 12:48 pm,"Police say man didn't observe coronavirus etiquette and back up in line at a Codman Square ATM, instead, he started waving a gun around",Illegal gun possession,569 Washington St.
5/2/20 - 11:00 pm,Person in car shot on Corona Street in Dorchester,Shooting,Corona St. and Geneva Avenue
5/1/20 - 7:10 pm,Gunfire on Massachusetts Avenue at South Bay,Gunfire,1100 Massachusetts Ave.
5/1/20 - 5:59 pm,Police: Gang unit nabs teen with loaded gun in Dorchester a week after he pistol whipped somebody in a robbery,Armed robbery,Judson St. and Brookford St.
4/30/20 - 9:20 pm,Shots fired on Callender Street in Dorchester,Gunfire,Callender St. and Carlos St.
4/26/20 - 9:47 pm,Burst of gunfire at Millet and Athelwold streets in Dorchester,Gunfire,Millet St. and Athelwold St.
4/15/20 - 3:55 pm,Teen shot to death at Topliff and Speedwell streets in Dorchester; another teen arrested,Murder,30 Topliff St.
4/14/20 - 8:20 pm,Man in car shot on Harvard Street in Dorchester,Shooting,144 Harvard St.
4/4/20 - 5:53 pm,"Man had a ride share waiting while he robbed three at gunpoint in Dorchester, police say",Armed robbery,20A Frontenac St.
3/28/20 - 2:01 pm,"Crime in the time of corornavirus: After man is shot in Dorchester, large crowd gathers",Shooting,Westville Street and Louis D. Brown Way
3/22/20 - 6:10 pm,Person shot outside Codman Square KFC,Shotting,Washington St. and Regina Rd.
3/20/20 - 1:17 am,Dorchester man charged with smashing two women in the face with bottles; pal charged with trying to do the same with the butt of a gun,Assault and battery with a dangerous weapon,Percival St.
3/17/20 - 10:00 pm,Market on Talbot Avenue in Dorchester robbed at gunpoint,Armed robbery,466 Talbot Ave.
3/7/20 - 4:27 am,Gunfire on Algonquin Street in Dorchester,Gunfire,36 Algonquin St.
3/3/20 - 9:30 pm,Man shot on Hancock Street in Dorchester,Shooting,68 Hancock St.
2/27/20 - 10:20 pm,House hit with gunfire on Mora Street in Dorchester,Gunfire,74 Mora St.
2/27/20 - 2:20 pm,Man charged with murdering his mother on Columbia Road in Dorchester,Murder,357 Columbia Rd.
2/23/20 - 1:55 pm,"Man was walking down Burt Street in Dorchester with a loaded gun, police say",Illegal gun possession,Ashmont St. and Ocean St.
2/20/20 - 11:10 pm,Man shot to death on Woodrow Avenue in Dorchester,Murder,89 Woodrow Ave.
2/19/20 - 12:11 pm,Teen shot to death on Cameron Street in Dorchester,Murder,6 Cameron St.
2/16/20 - 1:15 pm,"Red Line rider bites man as train hurtles through Dorchester, police say",,
2/11/20 - 2:45 pm,"Two teens with loaded guns arrested after gunfire in Dorchester, police say",Illegal gun possession,21 Bullard St.
2/10/20 - 11:27 pm,"Officer shoots man who was repeatedly stabbing another man in Fields Corner and refused to stop, police say",Stabbing,208 Adams St.
2/7/20 - 6:30 pm,Man shot to death in Uphams Corner,Murder,566 Columbia Rd.
2/5/20 - 6:30 pm,Man shot to death on Magnolia Street in Dorchester,Murder,149 Magnolia St.
